model_name,num_layers,hidden_size,hidden_size_log,baseline_perplexity,baseline_perplexity_log,num_decoupled,mean_split_frac_selected,std_split_frac_selected,mean_layer_pos_selected,mean_pairwise_dist,mean_single_perf_selected_rel,perplexity,log_perplexity,is_dec_1,split_frac_1,split_logit_1,layer_pos_1,single_perf_rel_1,is_dec_2,split_frac_2,split_logit_2,layer_pos_2,single_perf_rel_2,is_dec_3,split_frac_3,split_logit_3,layer_pos_3,single_perf_rel_3,is_dec_4,split_frac_4,split_logit_4,layer_pos_4,single_perf_rel_4,is_dec_5,split_frac_5,split_logit_5,layer_pos_5,single_perf_rel_5,is_dec_6,split_frac_6,split_logit_6,layer_pos_6,single_perf_rel_6,is_dec_7,split_frac_7,split_logit_7,layer_pos_7,single_perf_rel_7,is_dec_8,split_frac_8,split_logit_8,layer_pos_8,single_perf_rel_8,is_dec_9,split_frac_9,split_logit_9,layer_pos_9,single_perf_rel_9,is_dec_10,split_frac_10,split_logit_10,layer_pos_10,single_perf_rel_10,is_dec_11,split_frac_11,split_logit_11,layer_pos_11,single_perf_rel_11,is_dec_12,split_frac_12,split_logit_12,layer_pos_12,single_perf_rel_12,is_dec_13,split_frac_13,split_logit_13,layer_pos_13,single_perf_rel_13,is_dec_14,split_frac_14,split_logit_14,layer_pos_14,single_perf_rel_14,is_dec_15,split_frac_15,split_logit_15,layer_pos_15,single_perf_rel_15,is_dec_16,split_frac_16,split_logit_16,layer_pos_16,single_perf_rel_16,is_dec_17,split_frac_17,split_logit_17,layer_pos_17,single_perf_rel_17,is_dec_18,split_frac_18,split_logit_18,layer_pos_18,single_perf_rel_18,is_dec_19,split_frac_19,split_logit_19,layer_pos_19,single_perf_rel_19,is_dec_20,split_frac_20,split_logit_20,layer_pos_20,single_perf_rel_20,is_dec_21,split_frac_21,split_logit_21,layer_pos_21,single_perf_rel_21,is_dec_22,split_frac_22,split_logit_22,layer_pos_22,single_perf_rel_22,is_dec_23,split_frac_23,split_logit_23,layer_pos_23,single_perf_rel_23,is_dec_24,split_frac_24,split_logit_24,layer_pos_24,single_perf_rel_24,is_dec_25,split_frac_25,split_logit_25,layer_pos_25,single_perf_rel_25,is_dec_26,split_frac_26,split_logit_26,layer_pos_26,single_perf_rel_26,is_dec_27,split_frac_27,split_logit_27,layer_pos_27,single_perf_rel_27,is_dec_28,split_frac_28,split_logit_28,layer_pos_28,single_perf_rel_28,is_dec_29,split_frac_29,split_logit_29,layer_pos_29,single_perf_rel_29,is_dec_30,split_frac_30,split_logit_30,layer_pos_30,single_perf_rel_30,is_dec_31,split_frac_31,split_logit_31,layer_pos_31,single_perf_rel_31,is_dec_32,split_frac_32,split_logit_32,layer_pos_32,single_perf_rel_32,is_dec_33,split_frac_33,split_logit_33,layer_pos_33,single_perf_rel_33,is_dec_34,split_frac_34,split_logit_34,layer_pos_34,single_perf_rel_34,is_dec_35,split_frac_35,split_logit_35,layer_pos_35,single_perf_rel_35,is_dec_36,split_frac_36,split_logit_36,layer_pos_36,single_perf_rel_36,is_dec_37,split_frac_37,split_logit_37,layer_pos_37,single_perf_rel_37,is_dec_38,split_frac_38,split_logit_38,layer_pos_38,single_perf_rel_38,is_dec_39,split_frac_39,split_logit_39,layer_pos_39,single_perf_rel_39,is_dec_40,split_frac_40,split_logit_40,layer_pos_40,single_perf_rel_40,is_dec_41,split_frac_41,split_logit_41,layer_pos_41,single_perf_rel_41,is_dec_42,split_frac_42,split_logit_42,layer_pos_42,single_perf_rel_42,is_dec_43,split_frac_43,split_logit_43,layer_pos_43,single_perf_rel_43,is_dec_44,split_frac_44,split_logit_44,layer_pos_44,single_perf_rel_44,is_dec_45,split_frac_45,split_logit_45,layer_pos_45,single_perf_rel_45,is_dec_46,split_frac_46,split_logit_46,layer_pos_46,single_perf_rel_46,is_dec_47,split_frac_47,split_logit_47,layer_pos_47,single_perf_rel_47,is_dec_48,split_frac_48,split_logit_48,layer_pos_48,single_perf_rel_48
gpt2-small,12,768,6.643789733148974,29.94,3.3991953790248823,5,0.8333333134651184,0.0,0.1818181872367859,2.0,0.12832331657409668,109.51,4.696015869296799,1,0.8333333134651184,1.6094379425048828,0.0,0.19706079363822937,1,0.8333333134651184,1.6094379425048828,0.09090909361839294,0.09352037310600281,1,0.8333333134651184,1.6094379425048828,0.1818181872367859,0.2545090317726135,1,0.8333333134651184,1.6094379425048828,0.27272728085517883,0.04943219944834709,1,0.8333333134651184,1.6094379425048828,0.3636363744735718,0.0470941886305809,0,1.0,20.7232666015625,0.4545454680919647,,0,1.0,20.7232666015625,0.5454545617103577,,0,1.0,20.7232666015625,0.6363636255264282,,0,1.0,20.7232666015625,0.7272727489471436,,0,1.0,20.7232666015625,0.8181818127632141,,0,1.0,20.7232666015625,0.9090909361839294,,0,1.0,20.7232666015625,1.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,
gpt2-small,12,768,6.643789733148974,29.94,3.3991953790248823,6,0.8333333134651184,0.0,0.22727273404598236,2.3333333333333335,0.11934981495141983,118.15,4.771955003641381,1,0.8333333134651184,1.6094379425048828,0.0,0.19706079363822937,1,0.8333333134651184,1.6094379425048828,0.09090909361839294,0.09352037310600281,1,0.8333333134651184,1.6094379425048828,0.1818181872367859,0.2545090317726135,1,0.8333333134651184,1.6094379425048828,0.27272728085517883,0.04943219944834709,1,0.8333333134651184,1.6094379425048828,0.3636363744735718,0.0470941886305809,1,0.8333333134651184,1.6094379425048828,0.4545454680919647,0.07448229938745499,0,1.0,20.7232666015625,0.5454545617103577,,0,1.0,20.7232666015625,0.6363636255264282,,0,1.0,20.7232666015625,0.7272727489471436,,0,1.0,20.7232666015625,0.8181818127632141,,0,1.0,20.7232666015625,0.9090909361839294,,0,1.0,20.7232666015625,1.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,
gpt2-small,12,768,6.643789733148974,29.94,3.3991953790248823,7,0.8333333730697632,5.960464477539063e-08,0.27272728085517883,2.6666666666666665,0.11055444926023483,129.78,4.865840709200728,1,0.8333333134651184,1.6094379425048828,0.0,0.19706079363822937,1,0.8333333134651184,1.6094379425048828,0.09090909361839294,0.09352037310600281,1,0.8333333134651184,1.6094379425048828,0.1818181872367859,0.2545090317726135,1,0.8333333134651184,1.6094379425048828,0.27272728085517883,0.04943219944834709,1,0.8333333134651184,1.6094379425048828,0.3636363744735718,0.0470941886305809,1,0.8333333134651184,1.6094379425048828,0.4545454680919647,0.07448229938745499,1,0.8333333134651184,1.6094379425048828,0.5454545617103577,0.05778223276138306,0,1.0,20.7232666015625,0.6363636255264282,,0,1.0,20.7232666015625,0.7272727489471436,,0,1.0,20.7232666015625,0.8181818127632141,,0,1.0,20.7232666015625,0.9090909361839294,,0,1.0,20.7232666015625,1.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,
gpt2-small,12,768,6.643789733148974,29.94,3.3991953790248823,8,0.8333333134651184,0.0,0.3181818127632141,3.0,0.10479291528463364,144.13,4.970715670101949,1,0.8333333134651184,1.6094379425048828,0.0,0.19706079363822937,1,0.8333333134651184,1.6094379425048828,0.09090909361839294,0.09352037310600281,1,0.8333333134651184,1.6094379425048828,0.1818181872367859,0.2545090317726135,1,0.8333333134651184,1.6094379425048828,0.27272728085517883,0.04943219944834709,1,0.8333333134651184,1.6094379425048828,0.3636363744735718,0.0470941886305809,1,0.8333333134651184,1.6094379425048828,0.4545454680919647,0.07448229938745499,1,0.8333333134651184,1.6094379425048828,0.5454545617103577,0.05778223276138306,1,0.8333333134651184,1.6094379425048828,0.6363636255264282,0.06446225941181183,0,1.0,20.7232666015625,0.7272727489471436,,0,1.0,20.7232666015625,0.8181818127632141,,0,1.0,20.7232666015625,0.9090909361839294,,0,1.0,20.7232666015625,1.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,
gpt2-small,12,768,6.643789733148974,29.94,3.3991953790248823,9,0.8333333134651184,0.0,0.3636363744735718,3.3333333333333335,0.10060861706733704,143.89,4.969049118782276,1,0.8333333134651184,1.6094379425048828,0.0,0.19706079363822937,1,0.8333333134651184,1.6094379425048828,0.09090909361839294,0.09352037310600281,1,0.8333333134651184,1.6094379425048828,0.1818181872367859,0.2545090317726135,1,0.8333333134651184,1.6094379425048828,0.27272728085517883,0.04943219944834709,1,0.8333333134651184,1.6094379425048828,0.3636363744735718,0.0470941886305809,1,0.8333333134651184,1.6094379425048828,0.4545454680919647,0.07448229938745499,1,0.8333333134651184,1.6094379425048828,0.5454545617103577,0.05778223276138306,1,0.8333333134651184,1.6094379425048828,0.6363636255264282,0.06446225941181183,1,0.8333333134651184,1.6094379425048828,0.7272727489471436,0.06713426858186722,0,1.0,20.7232666015625,0.8181818127632141,,0,1.0,20.7232666015625,0.9090909361839294,,0,1.0,20.7232666015625,1.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,
gpt2-small,12,768,6.643789733148974,29.94,3.3991953790248823,10,0.8333333134651184,0.0,0.40909090638160706,3.6666666666666665,0.09886439144611359,152.32,5.02598357104962,1,0.8333333134651184,1.6094379425048828,0.0,0.19706079363822937,1,0.8333333134651184,1.6094379425048828,0.09090909361839294,0.09352037310600281,1,0.8333333134651184,1.6094379425048828,0.1818181872367859,0.2545090317726135,1,0.8333333134651184,1.6094379425048828,0.27272728085517883,0.04943219944834709,1,0.8333333134651184,1.6094379425048828,0.3636363744735718,0.0470941886305809,1,0.8333333134651184,1.6094379425048828,0.4545454680919647,0.07448229938745499,1,0.8333333134651184,1.6094379425048828,0.5454545617103577,0.05778223276138306,1,0.8333333134651184,1.6094379425048828,0.6363636255264282,0.06446225941181183,1,0.8333333134651184,1.6094379425048828,0.7272727489471436,0.06713426858186722,1,0.8333333134651184,1.6094379425048828,0.8181818127632141,0.08316633105278015,0,1.0,20.7232666015625,0.9090909361839294,,0,1.0,20.7232666015625,1.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,
gpt2-small,12,768,6.643789733148974,29.94,3.3991953790248823,11,0.8333332538604736,5.960464477539063e-08,0.4545454680919647,4.0,0.09537255764007568,153.33,5.032592461454819,1,0.8333333134651184,1.6094379425048828,0.0,0.19706079363822937,1,0.8333333134651184,1.6094379425048828,0.09090909361839294,0.09352037310600281,1,0.8333333134651184,1.6094379425048828,0.1818181872367859,0.2545090317726135,1,0.8333333134651184,1.6094379425048828,0.27272728085517883,0.04943219944834709,1,0.8333333134651184,1.6094379425048828,0.3636363744735718,0.0470941886305809,1,0.8333333134651184,1.6094379425048828,0.4545454680919647,0.07448229938745499,1,0.8333333134651184,1.6094379425048828,0.5454545617103577,0.05778223276138306,1,0.8333333134651184,1.6094379425048828,0.6363636255264282,0.06446225941181183,1,0.8333333134651184,1.6094379425048828,0.7272727489471436,0.06713426858186722,1,0.8333333134651184,1.6094379425048828,0.8181818127632141,0.08316633105278015,1,0.8333333134651184,1.6094379425048828,0.9090909361839294,0.060454241931438446,0,1.0,20.7232666015625,1.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,
gpt2-small,12,768,6.643789733148974,29.94,3.3991953790248823,12,0.8333332538604736,5.960464477539063e-08,0.5,4.333333333333333,0.09168335795402527,160.8,5.080161356751085,1,0.8333333134651184,1.6094379425048828,0.0,0.19706079363822937,1,0.8333333134651184,1.6094379425048828,0.09090909361839294,0.09352037310600281,1,0.8333333134651184,1.6094379425048828,0.1818181872367859,0.2545090317726135,1,0.8333333134651184,1.6094379425048828,0.27272728085517883,0.04943219944834709,1,0.8333333134651184,1.6094379425048828,0.3636363744735718,0.0470941886305809,1,0.8333333134651184,1.6094379425048828,0.4545454680919647,0.07448229938745499,1,0.8333333134651184,1.6094379425048828,0.5454545617103577,0.05778223276138306,1,0.8333333134651184,1.6094379425048828,0.6363636255264282,0.06446225941181183,1,0.8333333134651184,1.6094379425048828,0.7272727489471436,0.06713426858186722,1,0.8333333134651184,1.6094379425048828,0.8181818127632141,0.08316633105278015,1,0.8333333134651184,1.6094379425048828,0.9090909361839294,0.060454241931438446,1,0.8333333134651184,1.6094379425048828,1.0,0.051102206110954285,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,
gpt2-small,12,768,6.643789733148974,29.94,3.3991953790248823,1,0.3333333432674408,0.0,0.0,0.0,1.5177021026611328,75.38,4.322541987852255,1,0.3333333432674408,-0.6931471824645996,0.0,1.5177021026611328,0,1.0,20.7232666015625,0.09090909361839294,,0,1.0,20.7232666015625,0.1818181872367859,,0,1.0,20.7232666015625,0.27272728085517883,,0,1.0,20.7232666015625,0.3636363744735718,,0,1.0,20.7232666015625,0.4545454680919647,,0,1.0,20.7232666015625,0.5454545617103577,,0,1.0,20.7232666015625,0.6363636255264282,,0,1.0,20.7232666015625,0.7272727489471436,,0,1.0,20.7232666015625,0.8181818127632141,,0,1.0,20.7232666015625,0.9090909361839294,,0,1.0,20.7232666015625,1.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,
gpt2-small,12,768,6.643789733148974,29.94,3.3991953790248823,2,0.5,0.1666666716337204,0.04545454680919647,1.0,0.9756178855895996,963.36,6.870427173717176,1,0.3333333432674408,-0.6931471824645996,0.0,1.5177021026611328,1,0.6666666865348816,0.6931471824645996,0.09090909361839294,0.4335337281227112,0,1.0,20.7232666015625,0.1818181872367859,,0,1.0,20.7232666015625,0.27272728085517883,,0,1.0,20.7232666015625,0.3636363744735718,,0,1.0,20.7232666015625,0.4545454680919647,,0,1.0,20.7232666015625,0.5454545617103577,,0,1.0,20.7232666015625,0.6363636255264282,,0,1.0,20.7232666015625,0.7272727489471436,,0,1.0,20.7232666015625,0.8181818127632141,,0,1.0,20.7232666015625,0.9090909361839294,,0,1.0,20.7232666015625,1.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,
gpt2-small,12,768,6.643789733148974,29.94,3.3991953790248823,3,0.5555555820465088,0.15713484585285187,0.09090909361839294,1.3333333333333333,0.851703405380249,5919.54,8.686014022156506,1,0.3333333432674408,-0.6931471824645996,0.0,1.5177021026611328,1,0.6666666865348816,0.6931471824645996,0.09090909361839294,0.4335337281227112,1,0.6666666865348816,0.6931471824645996,0.1818181872367859,0.6038744449615479,0,1.0,20.7232666015625,0.27272728085517883,,0,1.0,20.7232666015625,0.3636363744735718,,0,1.0,20.7232666015625,0.4545454680919647,,0,1.0,20.7232666015625,0.5454545617103577,,0,1.0,20.7232666015625,0.6363636255264282,,0,1.0,20.7232666015625,0.7272727489471436,,0,1.0,20.7232666015625,0.8181818127632141,,0,1.0,20.7232666015625,0.9090909361839294,,0,1.0,20.7232666015625,1.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,
gpt2-small,12,768,6.643789733148974,29.94,3.3991953790248823,4,0.5833333730697632,0.14433756470680237,0.13636364042758942,1.6666666666666667,0.6834502220153809,30243.27,10.317028959367978,1,0.3333333432674408,-0.6931471824645996,0.0,1.5177021026611328,1,0.6666666865348816,0.6931471824645996,0.09090909361839294,0.4335337281227112,1,0.6666666865348816,0.6931471824645996,0.1818181872367859,0.6038744449615479,1,0.6666666865348816,0.6931471824645996,0.27272728085517883,0.17869071662425995,0,1.0,20.7232666015625,0.3636363744735718,,0,1.0,20.7232666015625,0.4545454680919647,,0,1.0,20.7232666015625,0.5454545617103577,,0,1.0,20.7232666015625,0.6363636255264282,,0,1.0,20.7232666015625,0.7272727489471436,,0,1.0,20.7232666015625,0.8181818127632141,,0,1.0,20.7232666015625,0.9090909361839294,,0,1.0,20.7232666015625,1.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,
